Companynumber,Companyname,BestEstimateCurrentEmployees,BestEstimateCurrentTurnover,BestEstimateGrowthPercentagePerYear,BestEstimateEmployeeGrowthPercentagePerYear,BestEstimateTurnoverGrowthPercentagePerYear,CompanyGrowthStage,SortableIncorporationDate,Description,URLs,Registeredpostcode,RTICs,RTICsubsectors,TotalInnovateUKFunding,TotalDealroomFundingMillionPounds,LastKnownDealroomFunding,WomenFounded
06927267,MATERION UK LIMITED,90,1833159,0.762,0.762,,Medium,06/08/2009 00:00:00,"A global supplier of specialty materials including alloys, beryllium products, composite / clad metals, thin film deposition materials, precision optics",materion.com,GU14 6XE,"Space Energy, In-Orbit Servicing and Manufacturing, Electronics Manufacturing, Computer Hardware, Advanced Materials, Space Economy, MedTech, Quantum Economy","Space Energy: Power Core, In-Orbit Servicing and Manufacturing: Space Manufacturing, Electronics Manufacturing: Optical devices, Computer Hardware: Tools, Advanced Materials: Optics and Photonics, Advanced Materials: Electrochemical, Advanced Materials: Coatings, Advanced Materials: Metals, Advanced Materials: Technical Ceramics and Glass, Space Economy: Materials, MedTech: Advanced Materials, Quantum Economy: Components and Materials",,0,,0
10489088,OCTAIPIPE LIMITED,41,1951293,0.555,0.555,,Small,11/21/2016 00:00:00,We deliver bespoke ai-driven business innovation & solutions through our data science and machine learning services. see how we do it!,t-dab.ai,E1 6JN,"Cyber, Cloud Computing, Energy Management, Internet of Things, Artificial Intelligence, Advanced Manufacturing, MedTech, Engineering Biology Supply Chain, Data Infrastructure","Cyber: IoT Security, Cloud Computing: Platform as a Service (PaaS) & Platform Management, Energy Management: AI and IoT, Internet of Things: Smart Cities and Transport, Internet of Things: Industrial IoT, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Systems Optimisation, Artificial Intelligence: Green Tech, Artificial Intelligence: Life Sciences, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Industrial IoT, Advanced Manufacturing: Artificial Intelligence, MedTech: Artificial Intelligence, Engineering Biology Supply Chain: Computational - AI / Bioinformatics / Omics / Software, Data Infrastructure: Data Infrastructure Services",854341.61,4.54,2024-01-01,0
10342164,INAWISDOM LTD,200,27720583,0.476,0.509,0.443,Medium,08/23/2016 00:00:00,,inawisdom.com,EC2M 4AG,"Autonomy and Robotics, Artificial Intelligence, Advanced Manufacturing, Engineering Biology Supply Chain, Data Infrastructure","Autonomy and Robotics: Reasoning and Acting, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Green Tech, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Industrial IoT, Advanced Manufacturing: Artificial Intelligence, Engineering Biology Supply Chain: Computational - AI / Bioinformatics / Omics / Software, Data Infrastructure: Data Infrastructure Services",,0,2020-12-01,0
10121147,5VALUES CONSULTING GROUP LTD,58,1619201,0.394,0.394,,Medium,04/13/2016 00:00:00,We are specialists in internet of things (iot) and broadcast technology talent solutions. iot. broadcast technology. our partners. eurofins. infosys. freesat. sky.,paratuspeople.com,BS2 0JA,"Cyber, Advanced Manufacturing","Cyber: IoT Security, Advanced Manufacturing: Industrial IoT",,0,,0
11160393,SMARTIA LTD,21,981265,0.261,0.261,,Small,01/19/2018 00:00:00,"Empowering engineers to easily connect and transform operational data into actionable insights and machine intelligence. developers of maio, an industrial intelligence technology combining ai (artificial intelligence) and iot (internet of things).",smartia.tech,BS16 7FR,"Cyber, Internet of Things, Artificial Intelligence, Advanced Manufacturing, MedTech","Cyber: IoT Security, Internet of Things: Industrial IoT, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Industry 4.0 and Automation, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Industrial IoT, Advanced Manufacturing: Artificial Intelligence, MedTech: Artificial Intelligence",609893.85,1.96,2022-10-01,0
11138872,DATA SCIENCE CENTRAL UK LIMITED,182,12707718,0.962,0.962,,Medium,01/08/2018 00:00:00,New & notable top webinar recently added new videos,datasciencecentral.com,EC2A 4DS,"Energy Management, Supply Chain Logistics, EdTech, Artificial Intelligence, Advanced Manufacturing","Energy Management: AI and IoT, Supply Chain Logistics: Artificial Intelligence, EdTech: Artificial Intelligence, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Green Tech, Artificial Intelligence: Life Sciences, Artificial Intelligence: Machine Learning, Advanced Manufacturing: Artificial Intelligence",,0,,0
01485988,AVNET EMG LTD.,214,481730000,0.2835,-0.044,0.611,Large,03/18/1980 00:00:00,Avnet offers a comprehensive portfolio of component and embedded technologies from the world’s leading suppliers.,www.avnet.com,SG1 2EF,Electronics Manufacturing,Electronics Manufacturing: Electronic components and boards,,0,,0
09889431,PARAGRAF LIMITED,210,228923,0.605,0.605,,Medium,11/25/2015 00:00:00,We specialise in the deposition of high-purity 2d graphene and its incorporation into ready to use devices.,paragraf.com,PE28 3EB,"Computer Hardware, Advanced Materials, Sensors, Quantum Economy","Computer Hardware: Tools, Computer Hardware: Semiconductor electronics, Advanced Materials: Emergent, Advanced Materials: Carbon-Based, Sensors: Medical, Quantum Economy: Components and Materials",1560689.4,70.58,2022-07-01,0
10002698,GLASS FUTURES LTD,98,10868635,1.588,1.269,1.907,Medium,02/12/2016 00:00:00,"Glass futures, a not for profit company, is creating a global centre of excellence to make glass the low carbon material of choice.",glass-futures.org,S35 2PY,Advanced Materials,Advanced Materials: Technical Ceramics and Glass,46266991.7,0,,0
10591395,INTELLEGENS LIMITED,40,2745348,0.468,0.468,,Small,01/30/2017 00:00:00,"Accelerate innovation for materials, chemicals, manufacturing, and beyond. advanced deep learning extracts value from real-world, sparse, noisy data.",intellegens.com,CB10 1PF,"Artificial Intelligence, Advanced Manufacturing, MedTech, Engineering Biology Supply Chain, Pharma","Artificial Intelligence: Life Sciences, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Artificial Intelligence, MedTech: Artificial Intelligence, Engineering Biology Supply Chain: Computational - AI / Bioinformatics / Omics / Software, Pharma: Artificial Intelligence and Blockchain",1121110.1,1.91,2023-08-01,0
01947990,RÖCHLING INDUSTRIAL (UK) LIMITED,237,42228487,0.275,0.239,0.311,Large,09/17/1985 00:00:00,,www.roechling.com,GL2 2AA,"Advanced Materials, Pharma","Advanced Materials: Polymers, Pharma: Additive Manufacturing",,0,,0
03900676,NVIDIA LTD,423,253197442,0.276,,0.276,Large,12/29/1999 00:00:00,"Nvidia is committed to respecting your privacy. this privacy policy applies to our world-wide family of nvidia-operated websites, apps, and products.",nvidia.com,EC2R 7HJ,"EdTech, Computer Hardware, Artificial Intelligence, Advanced Manufacturing, MedTech, Engineering Biology Supply Chain","EdTech: Artificial Intelligence, Computer Hardware: Graphics Processing Unit, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Systems Optimisation, Artificial Intelligence: Signal Processing, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Artificial Intelligence, MedTech: Artificial Intelligence, Engineering Biology Supply Chain: Computational - Supercomputing",0,0,,0
00876034,MERSEN UK TEESSIDE LIMITED,135,28941072,0.264,0.333,0.195,Medium,04/01/1966 00:00:00,"Global expert in electrical power and advanced materials, mersen designs innovative solutions to address its clients’ specific needs to enable them to optimize their manufacturing performance in sectors such as energy, transportation, electronics, chemicals, pharmaceuticals and process industries.",mersen.co.uk,TS16 0RH,Advanced Materials,Advanced Materials: Carbon-Based,,0,,0
06149634,EVOLVE-IT CONSULTING LTD,36,1712962,0.232,0.232,,Small,03/09/2007 00:00:00,"Bespoke software development, extended agile teams and tech consultancy for startups and enterprises in the uk and globally",evolve-consultants.co.uk,LE6 0PG,Advanced Manufacturing,Advanced Manufacturing: Artificial Intelligence,,0,,0
10331020,CLOUDFACTORY INTERNATIONAL LIMITED,98,56847362,0.2775,0.277,0.278,Large,08/16/2016 00:00:00,Trusted by ai and data leaders to consistently deliver high-quality data at scale.,cloudfactory.com,RG1 1LX,"Data Intermediaries, Artificial Intelligence, Advanced Manufacturing, Data Infrastructure","Data Intermediaries: Undefined Intermediaries, Artificial Intelligence: Image Processing, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Artificial Intelligence, Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Storage",,0,,0
07423954,PRAGMATIC SEMICONDUCTOR LIMITED,316,2460315,0.38,0.317,0.443,Large,10/29/2010 00:00:00,"Leaders in semiconductor innovation; creating ultra-thin, ultra-low-cost, flexible integrated circuits",pragmaticsemi.com,CB4 0WH,"Computer Hardware, Advanced Materials","Computer Hardware: Tools, Computer Hardware: Semiconductor electronics, Advanced Materials: Electrochemical",7924339.79,305.78,2023-12-01,0
06853474,DIGICA SOLUTIONS LIMITED,205,4543415,1.373,1.373,,Medium,03/20/2009 00:00:00,"Digica | international ai powered software solutions company developing smart intelligent software solutions for cloud, iot and embedded.",digica.com,M33 7ZZ,"Cyber, Software Development, Computer Hardware, Artificial Intelligence, Advanced Manufacturing","Cyber: IoT Security, Software Development: Embedded Software, Computer Hardware: Embedded Systems, Artificial Intelligence: Systems Optimisation, Artificial Intelligence: Machine Learning, Advanced Manufacturing: Industrial IoT, Advanced Manufacturing: Artificial Intelligence",,0,2006-01-01,0
09787762,TANGI0 LTD,46,3194644,0.307,0.307,,Small,09/21/2015 00:00:00,Turn the ordinary extraordinary with advanced touch sensing technology technology for capacitive and 3d deformation sensing capabilities.,tg0.co.uk,SW4 7NQ,"Wearables and Quantified Self, Immersive Technologies, Sensors","Wearables and Quantified Self: Enabling Tech, Immersive Technologies: Virtual Reality, Sensors: Mobility, Sensors: Autonomous vehicles",2240542,5.01,2023-01-01,0
10798129,CLOUDFACTORY HOLDINGS LIMITED,744,57926770,0.21900000000000003,0.157,0.281,Large,06/01/2017 00:00:00,Trusted by ai and data leaders to consistently deliver high-quality data at scale.,cloudfactory.com,RG1 1LX,"Data Intermediaries, Artificial Intelligence, Advanced Manufacturing, Data Infrastructure","Data Intermediaries: Undefined Intermediaries, Artificial Intelligence: Image Processing, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Artificial Intelligence, Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Storage",,59.47,2019-11-01,0
02785760,AXISCADES UK LTD,29,6987905,0.24050000000000002,0.019,0.462,Small,02/02/1993 00:00:00,"Axiscades is a leading, end to end engineering solutions and product company. axiscades delivers business value across the entire engineering life-cycle.",axiscades.com,LE19 4XT,"In-Orbit Servicing and Manufacturing, Cyber, Research and Consulting - Physical Sciences and Engineering, Life Sciences, Computer Hardware, Artificial Intelligence, Space Economy, Advanced Manufacturing, MedTech, Robotics and Autonomous systems","In-Orbit Servicing and Manufacturing: Space Manufacturing, Cyber: IoT Security, Research and Consulting - Physical Sciences and Engineering: Engineering Research, Life Sciences: Life Sciences Manufacturing, Computer Hardware: Embedded Systems, Artificial Intelligence: Industry 4.0 and Automation, Artificial Intelligence: Data Analysis, Space Economy: Software, Advanced Manufacturing: Digital Design, Advanced Manufacturing: Industrial IoT, Advanced Manufacturing: Robotics and Automation, Advanced Manufacturing: Artificial Intelligence, MedTech: Robotics, Robotics and Autonomous systems: Integrators",,0,,0
10673098,QLM TECHNOLOGY LTD,30,1551758,0.37,0.37,,Small,03/15/2017 00:00:00,,qlmtec.com,CF3 0EY,"Net Zero, Research and Consulting - Physical Sciences and Engineering, CleanTech, Quantum Technology, Marine and Maritime, Sensors, Photonics, Quantum Economy","Net Zero: Carbon Capture, Net Zero: Pollution Control and Mitigation, Research and Consulting - Physical Sciences and Engineering: Engineering Research, CleanTech: Environmental Protection and Monitoring, Quantum Technology: Quantum Sensing, Marine and Maritime: Autonomy & Robotics, Sensors: Industry 4.0, Sensors: Environmental Monitoring, Photonics: Optics, Quantum Economy: Components and Materials, Quantum Economy: Photonics",1945945.17,15.32,2022-08-01,0
00574102,TEXAS INSTRUMENTS LIMITED,33,87490195,0.289,-0.003,0.581,Large,11/12/1956 00:00:00,"Texas instruments has been making progress possible for decades. we are a global semiconductor company that designs, manufactures, tests and sells analog and embedded processing chips.",ti.com,M22 4BJ,"Space Energy, Computer Hardware, Advanced Materials, Sensors, Photonics, Data Infrastructure","Space Energy: Ground Segment, Computer Hardware: Tools, Computer Hardware: Embedded Systems, Computer Hardware: Semiconductor electronics, Computer Hardware: Field Programmable Gate Arrays, Advanced Materials: Electrochemical, Sensors: Industry 4.0, Sensors: Environmental Monitoring, Sensors: Autonomous vehicles, Sensors: Image and Video Analysis, Photonics: Microelectronics, Data Infrastructure: Trusted Execution Environments",,0,,0
04829985,CONSULT RED HOLDINGS LIMITED,416,61170749,0.3075,0.306,0.309,Large,07/11/2003 00:00:00,"Consult red are a technology consultancy helping clients deliver connected devices and systems, supporting them through their entire development.",consult.red,BD17 7DU,"Cyber, Software Development, Computer Hardware, Advanced Manufacturing, Data Infrastructure","Cyber: IoT Security, Software Development: Embedded Software, Computer Hardware: Embedded Systems, Advanced Manufacturing: Industrial IoT, Data Infrastructure: Trusted Execution Environments",592878,0,,0
10847889,HUMANISING AUTONOMY LTD,45,1248533,0.401,0.401,,Small,07/03/2017 00:00:00,"We teach machines to understand how and why people behave so that human-machine interaction is safer, more efficient and - most importantly - more human.",humanisingautonomy.com,WC2R 1LA,"Artificial Intelligence, Advanced Manufacturing, Sensors, Robotics and Autonomous systems","Artificial Intelligence: Signal Processing, Advanced Manufacturing: Artificial Intelligence, Sensors: Mobility, Sensors: Autonomous vehicles, Robotics and Autonomous systems: Mobility: CAV / Self-driving vehicles",205904,12.33,2023-02-01,0
10854957,CARBON THREESIXTY LIMITED,31,3819213,0.311,0.311,,Small,07/07/2017 00:00:00,,carbonthreesixty.com,SN14 6LH,"CleanTech, Advanced Materials, Space Economy","CleanTech: Environmental Protection and Monitoring, Advanced Materials: Electrochemical, Advanced Materials: Composites, Advanced Materials: Carbon-Based, Space Economy: Materials",321951,0.32,2022-01-01,0
03017799,HINDUJA GLOBAL SOLUTIONS UK LIMITED,1481,85339944,0.15100000000000002,0.069,0.233,Large,02/02/1995 00:00:00,Hgs digital creates frictionless digital experiences that solve business problems and improve customers’ lives.,hgs.cx,TW8 9AG,"Artificial Intelligence, Advanced Manufacturing","Artificial Intelligence: Data Analysis, Advanced Manufacturing: Data Services, Advanced Manufacturing: Artificial Intelligence",,0,,0
09829727,IMMATERIAL LTD,55,3809520,0.651,0.651,,Medium,10/19/2015 00:00:00,"We are experts in porous materials, working to commercialise a technology platform built at the university of cambridge.",immaterial.com,CB4 0FW,"Research and Consulting - Physical Sciences and Engineering, CleanTech, Advanced Materials, MedTech","Research and Consulting - Physical Sciences and Engineering: Engineering Research, CleanTech: Environmental Protection and Monitoring, Advanced Materials: Emergent, Advanced Materials: Electrochemical, MedTech: Advanced Materials",3217509.04,3.57,2023-09-01,0
08706503,ALL.SPACE NETWORKS LIMITED,368,11599021,0.637,1.021,0.253,Large,09/26/2013 00:00:00,"All.space is revolutionising communications with the world’s only intelligent, multi-network, service enablement platform.",all.space,RG6 1RB,"Space Energy, In-Orbit Servicing and Manufacturing, Telecommunications, Space Economy","Space Energy: Operations Management, In-Orbit Servicing and Manufacturing: Assembly, Telecommunications: Satellite Communications, Space Economy: Communications",922123,90.71,2023-07-01,0
04676191,DEVICE AUTHORITY LTD,23,1073923,0.202,0.202,,Small,02/24/2003 00:00:00,"Protect your iot devices from costly security breaches with our all-in-one iot cybersecurity platform. secure updates, data security & more. book a demo today.",deviceauthority.com,RG1 1LX,"Cyber, Internet of Things, Space Economy, Advanced Manufacturing","Cyber: Identity Management, Cyber: Endpoint Security, Cyber: IoT Security, Cyber: Cryptographic Authentication, Internet of Things: Energy Management & Smart Buildings, Internet of Things: Connectivity Platforms, Space Economy: Cyber Security and Encryption, Advanced Manufacturing: Industrial IoT",,9.3,2024-02-01,0
10534682,DATAIKU LTD,308,73181920,0.8045,0.7,0.909,Large,12/21/2016 00:00:00,"Dataiku is the world’s leading platform for everyday ai, systemizing the use of data for exceptional business results.",dataiku.com,EC2M 4YE,"Artificial Intelligence, Advanced Manufacturing","Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Artificial Intelligence",,0,,0
12214664,ARANET LTD,34,1681660,0.271,0.271,,Small,09/18/2019 00:00:00,"The perfect companion for indoor environments allowing you to monitor co2 levels, temperature, relative humidity and atmospheric pressure",aranet.com,EC2A 3NT,Sensors,"Sensors: Industry 4.0, Sensors: Environmental Monitoring",,0,,0
12780803,KIGEN (UK) LIMITED,183,31726147,0.5645,0.088,1.041,Medium,07/30/2020 00:00:00,"Kigen provides technologies for enabling mobile communications for your devices. from sim to esim and rsp, discover our products.",kigen.com,CB1 2GE,"Cyber, Telecommunications, Internet of Things, Advanced Manufacturing, Data Infrastructure, AgriTech","Cyber: IoT Security, Telecommunications: Network Providers, Telecommunications: Wireless Connectivity, Internet of Things: Connectivity Platforms, Advanced Manufacturing: Industrial IoT, Data Infrastructure: Trusted Execution Environments, AgriTech: Remote Sensing",,15.79,2023-07-01,0
10878338,CIKLUM OPERATIONS UK LIMITED,130,418992500,1.8780000000000001,0.834,2.922,Large,07/21/2017 00:00:00,"Industry-leading software engineers, data scientists, and consultants. through innovation, we make your digital ideas a profitable reality.",ciklum.com,WC2A 3TH,Advanced Manufacturing,Advanced Manufacturing: Data Services,,0,,0
01432297,PRAMAC-GENERAC UK LIMITED,108,79708339,0.28900000000000003,0.261,0.317,Large,06/22/1979 00:00:00,"Pramac designs and manufactures light towers, portable and stationary generators and a full range of material handling products both as standard production and on specific demand",pramac.com,CV21 2UX,Electronics Manufacturing,Electronics Manufacturing: Energy generation or distribution tech,,0,,0
SC553315,INTEGRATED GRAPHENE LIMITED,60,4144758,0.496,0.496,,Medium,12/23/2016 00:00:00,"Integrated graphene enable better products with a revolutionary design for manufacture process producing the world's highest quality pure 3d graphene foam, gii.",integratedgraphene.com,FK8 2DJ,"Advanced Materials, Sensors","Advanced Materials: Carbon-Based, Sensors: Medical",977070.37,11.9,2024-06-01,0
10321594,GEOMIQ LIMITED,65,1748547,0.404,0.404,,Medium,08/09/2016 00:00:00,The digital manufacturing platform connecting the world's best engineers with the world's best manufacturers. get a quote now.,geomiq.com,E2 9DQ,Advanced Manufacturing,Advanced Manufacturing: Prototyping,,11.27,2022-07-01,0
11356649,AIDRIVERS LTD,44,2062310,0.329,0.329,,Small,05/11/2018 00:00:00,We provide autonomous mobility solutions for industrial automation to optimise the business operations and improve quality of services.,aidrivers.ai,UB10 0NE,"Autonomy and Robotics, Marine and Maritime, Sensors, Robotics and Autonomous systems","Autonomy and Robotics: Sensing and Perception, Autonomy and Robotics: Reasoning and Acting, Marine and Maritime: Autonomy & Robotics, Sensors: Mobility, Sensors: Autonomous vehicles, Robotics and Autonomous systems: AI Software, Robotics and Autonomous systems: Mobility: CAV / Self-driving vehicles, Robotics and Autonomous systems: Mobility: Unmanned Aerial Systems / Drones",,0,,0
11249274,NEXUS FRONTIER TECH LIMITED,185,7302320,1.356,1.356,,Medium,03/11/2018 00:00:00,Accelerating workflows and decision-making by eliminating manual processes with proprietary artificial intelligence platform and solutions.,nexusfrontier.tech,E14 5AB,"Artificial Intelligence, Advanced Manufacturing, FinTech","Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Artificial Intelligence, FinTech: Tech for Enterprise",,4.61,2022-09-01,0
10742540,TIRUPATI GRAPHITE PLC,937,7225025,0.681,0.406,0.956,Large,04/26/2017 00:00:00,"A company with natural flake graphite mining and processing, value added products like expandable graphite, high purity graphite , spherical graphite, micronised graphite and graphene manufacturing. multi-asset, multi-jurisdictional producer with focus on green applications, processes and materials.",tirupatigraphite.co.uk,W1W 8DH,Advanced Materials,Advanced Materials: Carbon-Based,,1.5,2023-12-01,0
05369683,DELTA MOBREY LIMITED,174,21176573,0.27849999999999997,0.352,0.205,Medium,02/18/2005 00:00:00,"Delta mobrey has been manufacturing such devices, across the globe, for over 100 years and has garnered an exceptional level of expertise...",delta-mobrey.com,GU16 7PL,"In-Orbit Servicing and Manufacturing, Electronics Manufacturing, Sensors","In-Orbit Servicing and Manufacturing: Refueling, Electronics Manufacturing: Measuring and metrology devices, Sensors: Industry 4.0",,0,,0
10053319,EASTGATE ENGINEERING SERVICES LTD,52,9538408,0.441,0.441,,Medium,03/09/2016 00:00:00,"Specialist electrical & instrumentation services contractors providing engineering, construction, commissioning and maintenance services covering a broad range of sectors such as oil & gas, power & infrastructure, industrial and commercial",eastgateengineering.com,TS23 4EA,"Electronics Manufacturing, Life Sciences","Electronics Manufacturing: Energy generation or distribution tech, Life Sciences: Chemical Products and Services",,0,,0
05546181,AURRIGO INTERNATIONAL PLC,188,7668596,0.646,1.135,0.157,Medium,08/25/2005 00:00:00,Global transport technology leaders engineering a sustainable future.,aurrigo.com,CV3 1JL,"Marine and Maritime, Sensors, Robotics and Autonomous systems","Marine and Maritime: Autonomy & Robotics, Sensors: Mobility, Sensors: Autonomous vehicles, Robotics and Autonomous systems: AI Software, Robotics and Autonomous systems: Mobility: CAV / Self-driving vehicles",,0,,0
11498722,METALYSIS LTD,61,4912320,0.428,0.428,,Medium,08/03/2018 00:00:00,,metalysis.com,S60 5FS,Advanced Materials,Advanced Materials: Metals,,0,,0
04129612,PLESSEY SEMICONDUCTORS LIMITED,454,85513408,0.23,0.226,0.234,Large,12/18/2000 00:00:00,- plessey,plesseysemiconductors.com,PL6 7BQ,"Computer Hardware, Advanced Materials, Photonics","Computer Hardware: Semiconductor electronics, Advanced Materials: Electrochemical, Photonics: Optics",2578913,0,,0
