Companynumber,Companyname,BestEstimateCurrentEmployees,BestEstimateCurrentTurnover,BestEstimateGrowthPercentagePerYear,BestEstimateEmployeeGrowthPercentagePerYear,BestEstimateTurnoverGrowthPercentagePerYear,CompanyGrowthStage,SortableIncorporationDate,Description,URLs,Registeredpostcode,RTICs,RTICsubsectors,TotalInnovateUKFunding,TotalDealroomFundingMillionPounds,LastKnownDealroomFunding,WomenFounded
07479524,ONFIDO LTD,338,223879354,0.3135,0.109,0.518,Large,12/29/2010 00:00:00,"Drive new customer acquisition, detect fraud, and satisfy kyc and aml compliance using the identity verification that’s simple for everyone.",onfido.com,EC2A 1AH,"FinTech, Cyber","FinTech: Digital Identity, FinTech: Regtech, Cyber: Identity Management",262227,168.41,2024-04-01,0
10411015,10X BANKING TECHNOLOGY HOLDINGS LIMITED,490,20296792,0.2145,0.5,-0.071,Large,10/05/2016 00:00:00,"Put the world's most powerful and comprehensive cloud native banking platform at the core of your bank. - making banking 10x better june 16, 2021",10xbanking.com,EC1N 2HT,"FinTech, Software as a Service (SaaS)","FinTech: Digital Payments, FinTech: Regtech, FinTech: Tech for Enterprise, FinTech: Digital Banks, Software as a Service (SaaS): Finance and Accounting",,0,,0
10873114,DOMINO DATA LAB LIMITED,88,6249143,0.997,0.997,,Medium,07/19/2017 00:00:00,The domino data lab blog is home to all things data science and machine learning with information and resources tailored to data science professionals.,dominodatalab.com,RG1 3EU,"Cloud Computing, Data Infrastructure, Data Intermediaries, Artificial Intelligence","Cloud Computing: Platform as a Service (PaaS) & Platform Management, Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Infrastructure Software, Data Infrastructure: Data Storage, Data Intermediaries: Undefined Intermediaries, Data Intermediaries: Data Co-operatives, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis",,0,,0
10534682,DATAIKU LTD,308,73181920,0.8045,0.7,0.909,Large,12/21/2016 00:00:00,"Dataiku is the world’s leading platform for everyday ai, systemizing the use of data for exceptional business results.",dataiku.com,EC2M 4YE,"Advanced Manufacturing, Artificial Intelligence","Advanced Manufacturing: Artificial Intelligence, Artificial Intelligence: Machine Learning, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Data Analysis",,0,,0
11148681,COPPER TECHNOLOGIES (UK) LIMITED,520,21973822,1.536,1.536,,Large,01/15/2018 00:00:00,"The full package for crypto infrastructure. trade without moving assets to exchanges, eliminating the risk of hacked, frozen, or misappropriated assets. learn how",copper.co,W1F 0DE,"FinTech, Cryptocurrency Economy","FinTech: Tech for Enterprise, FinTech: Wealthtech, FinTech: Crypto Asset Exchange, FinTech: Consensus Services, FinTech: Digital Custody, Cryptocurrency Economy: Blockchain, Cryptocurrency Economy: Wallet, Cryptocurrency Economy: Investment",,238.1,2022-10-01,0
10548804,MPARTICLE LIMITED,45,3385575,0.39,0.39,,Small,01/05/2017 00:00:00,Mparticle is a real-time ai customer data platform that powers your entire marketing stack with high-quality customer data.,mparticle.com,W1F 9QW,"Data Infrastructure, Data Intermediaries, Software as a Service (SaaS), AdTech","Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Storage, Data Intermediaries: Undefined Intermediaries, Data Intermediaries: PDS/PIMS, Software as a Service (SaaS): Analytics, Software as a Service (SaaS): Marketing, AdTech: Data Management and Analysis",,0,,0
11047186,BANKED LTD,118,19026,0.266,0.834,-0.302,Medium,11/03/2017 00:00:00,"Banked : real time payments for consumers, businesses and banks.",banked.com,W1F 8WE,"FinTech, Software as a Service (SaaS)","FinTech: Digital Identity, FinTech: Digital Payments, FinTech: Tech for Enterprise, Software as a Service (SaaS): Finance and Accounting",,32.12,2022-11-01,0
11249274,NEXUS FRONTIER TECH LIMITED,185,7302320,1.356,1.356,,Medium,03/11/2018 00:00:00,Accelerating workflows and decision-making by eliminating manual processes with proprietary artificial intelligence platform and solutions.,nexusfrontier.tech,E14 5AB,"FinTech, Advanced Manufacturing, Artificial Intelligence","FinTech: Tech for Enterprise, Advanced Manufacturing: Artificial Intelligence, Artificial Intelligence: Machine Learning, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Data Analysis",,4.61,2022-09-01,0
00987011,DATA CARD INTERNATIONAL LIMITED,1199,314450277,0.28400000000000003,0.238,0.33,Large,08/14/1970 00:00:00,"Identity verification (idv) solutions help you to meet know your traveler/citizen obligations with the confidence of a high level of identity assurance ensuring that an individual you are interacting with is a real person linked to a genuine id document to prove their identity. idv is designed specifically to meet the needs of government immigration, border management, and digital services delivery.",entrust.com,RG1 3BA,"Space Economy, Cyber","Space Economy: Cyber Security and Encryption, Cyber: Cryptographic Authentication, Cyber: Endpoint Security, Cyber: Identity Management, Cyber: IoT Security",,0,,0
10956809,CARBONCHAIN.IO LIMITED,32,4870390,0.471,0.471,,Small,09/11/2017 00:00:00,"We automate your supply chain carbon accounting, so you can tackle climate risks, reduce emissions, and accelerate the transition to a net-zero economy.",carbonchain.com,EC1V 2NX,CleanTech,CleanTech: Environmental Protection and Monitoring,689614,8.77,2023-04-01,0
06909772,MONEYHUB FINANCIAL TECHNOLOGY LTD,170,2219978,0.56,0.56,,Medium,05/19/2009 00:00:00,"Moneyhub is a data and payments fintech that provides open banking, open finance, and open data solutions.",moneyhub.com,BS1 4RW,"FinTech, Software as a Service (SaaS)","FinTech: Digital Payments, FinTech: Regtech, FinTech: Tech for Enterprise, FinTech: Alternative Credit Analysis, Software as a Service (SaaS): Finance and Accounting",,98.03,2022-12-01,0
12500702,TRUELAYER GROUP HOLDINGS LIMITED,1085,10345367,0.915,0.965,0.865,Large,03/05/2020 00:00:00,Easily integrate next-generation payments and financial data into any app. build powerful products your customers love.,truelayer.com,EC2A 1PX,"FinTech, Software as a Service (SaaS)","FinTech: Digital Identity, FinTech: Digital Payments, FinTech: Regtech, FinTech: Tech for Enterprise, Software as a Service (SaaS): Finance and Accounting",,0,,0
08998951,YOTI LTD,211,14110222,1.6380000000000001,-0.013,3.289,Medium,04/15/2014 00:00:00,"We make it safer for people to prove who they are, with our world-leading suite of online and in-person identity and age solutions.",yoti.com,EC3A 4AF,"FinTech, Cyber","FinTech: Digital Identity, FinTech: Regtech, Cyber: Cryptographic Authentication, Cyber: Identity Management",0,22.73,2023-12-01,0
09597755,DIGITAL MONEYBOX LIMITED,802,71835035,0.9704999999999999,0.731,1.21,Large,05/19/2015 00:00:00,"Moneybox is the simple way to save, invest, buy your first home, and combine your old pensions - all with one award-winning app. download now.",moneyboxapp.com,SE1 9PG,FinTech,"FinTech: Digital Savings, FinTech: Wealthtech",,0,,0
12954235,MONEYBOX MORTGAGES LTD,80,2631392,10.304499999999999,0.706,19.903,Medium,10/15/2020 00:00:00,"Moneybox is the simple way to save, invest, buy your first home, and combine your old pensions - all with one award-winning app. download now.",moneyboxapp.com,SE1 9PG,FinTech,"FinTech: Digital Savings, FinTech: Wealthtech",,0,,0
09537047,YOTI HOLDING LTD,727,15619425,1.7990000000000002,0.216,3.382,Large,04/10/2015 00:00:00,"We make it safer for people to prove who they are, with our world-leading suite of online and in-person identity and age solutions.",yoti.com,EC3A 4AF,"FinTech, Cyber","FinTech: Digital Identity, FinTech: Regtech, Cyber: Cryptographic Authentication, Cyber: Identity Management",,0,,0
03519663,CUBE CONTENT GOVERNANCE LIMITED,158,22644000,0.217,0.243,0.191,Medium,03/01/1998 00:00:00,"Cube is a global saas regtech, providing world-leading regulatory change management and regulatory intelligence for regulated industries.",cube.global,EC2V 6DL,FinTech,"FinTech: Regtech, FinTech: Tech for Enterprise, FinTech: Alternative Credit Analysis",,0,,0
09265254,ENRO LIMITED,160,15019503,0.692,0.692,,Medium,10/15/2014 00:00:00,Flexible online cover for small businesses and advised cover for businesses facing complex and emerging risks.,gosuperscript.com,EC3M 1BD,FinTech,FinTech: Insurtech,,0,,0
11155938,BAANX GROUP LTD,48,2468995,0.385,0.385,,Small,01/17/2018 00:00:00,"Building the future of modular, api driven financial services - debit cards, digital wallets, ibans, remittance/fx, payment gateways & more. request demo now.",baanx.com,W8 4SG,"FinTech, Cryptocurrency Economy","FinTech: Digital Identity, FinTech: Digital Payments, FinTech: Digital Custody, Cryptocurrency Economy: Wallet",,27.46,2024-03-01,0
09871211,ENRO HOLDINGS LIMITED,278,10223780,1.0415,1.389,0.694,Large,11/13/2015 00:00:00,Flexible online cover for small businesses and advised cover for businesses facing complex and emerging risks.,gosuperscript.com,EC3M 1BD,FinTech,FinTech: Insurtech,,70.74,2023-01-01,0
10045407,QUANTEXA LIMITED,1274,134380233,0.5215000000000001,0.519,0.524,Large,03/07/2016 00:00:00,"Protect, optimize, and grow your organization with decision intelligence. more is possible with the right data in the right context.",quantexa.com,EC4A 3TR,"FinTech, Cyber, MedTech, Artificial Intelligence","FinTech: Digital Identity, FinTech: Regtech, FinTech: Tech for Enterprise, FinTech: Alternative Credit Analysis, Cyber: Threat Management, MedTech: Artificial Intelligence, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Data Analysis",,285.17,2023-04-01,0
12136011,FORTER SOLUTIONS UK LTD,145,34288485,2.325,0.904,3.746,Medium,08/02/2019 00:00:00,Forter offers unmatched fraud prevention and protection for digital commerce with real-time decisions for every customer interaction.,forter.com,EC4M 7AU,,,,386.37,2022-07-01,0
08372083,OMETRIA LTD,177,21398963,0.27,0.206,0.334,Medium,01/23/2013 00:00:00,"Learn more about ometria, our mission to help retailers create marketing experiences their customers will love, our investors and senior management team.",ometria.com,NW1 3ER,"Software as a Service (SaaS), AdTech","Software as a Service (SaaS): Marketing, AdTech: Data Management and Analysis",,53.89,2023-09-01,0
08194208,METRICSTREAM UK LIMITED,69,4793784,0.346,0.346,,Medium,08/29/2012 00:00:00,"Metricstream offers governance, risk management and compliance (grc) software solutions that allow companies across industries to streamline and automate their enterprise-wide grc programs.",metricstream.com,GL50 3PR,"FinTech, Cyber","FinTech: Regtech, FinTech: Tech for Enterprise, FinTech: Alternative Credit Analysis, Cyber: Risk Management",,0,,0
07783919,NOVAFORI LTD.,54,19402508,0.245,0.19,0.3,Medium,09/22/2011 00:00:00,"Novafori provides auction and trading solutions, powered by data science using machine learning algorithms to build and grow your market",novafori.com,HA1 1BQ,"FinTech, Artificial Intelligence","FinTech: Tech for Enterprise, Artificial Intelligence: Machine Learning",,7.61,2021-04-01,0
10910489,IMMO INVESTMENT TECHNOLOGIES UK LIMITED,158,10997236,0.524,0.524,,Medium,08/11/2017 00:00:00,The new way to invest in residential real estate at scale.,immo.capital,W12 8LE,FinTech,FinTech: Digital Capital Raising,,67.67,2022-04-01,0
11065412,CUDO VENTURES LTD,37,2009981,0.311,0.311,,Small,11/15/2017 00:00:00,"Cudos unites cloud & blockchain | using spare computing for a decentralised, sustainable, & connected world | powering the metaverse, nfts, web3, and gaming",cudos.org,EC1V 2NX,"FinTech, Cryptocurrency Economy","FinTech: Consensus Services, Cryptocurrency Economy: Blockchain, Cryptocurrency Economy: Mining",,1,2021-06-01,0
05959188,TRIBE PAYMENTS LTD,332,5866652,1.0835,1.762,0.405,Large,10/06/2006 00:00:00,"Cloud-based, api-led, fully customisable. tribe’s technology is built for today’s challenges and tomorrow’s opportunities.",tribepayments.com,EC4N 7BP,FinTech,"FinTech: Digital Payments, FinTech: Tech for Enterprise",,0,,0
07464840,EPHESOFT UK LIMITED,32,2445138,0.581,0.581,,Small,12/09/2010 00:00:00,"Ephesoft provides intelligent document processing solutions with industry-leading speed, accuracy, and implementation. schedule a demo today.",ephesoft.com,B4 6HQ,Artificial Intelligence,Artificial Intelligence: Image Processing,,0,,0
11087893,HUB INVESTMENT HOLDINGS LIMITED,170,1462178,0.56,0.56,,Medium,11/29/2017 00:00:00,"Moneyhub is a data and payments fintech that provides open banking, open finance, and open data solutions.",moneyhub.com,BS1 4RW,FinTech,"FinTech: Digital Payments, FinTech: Regtech, FinTech: Tech for Enterprise, FinTech: Alternative Credit Analysis",,0,,1
08100986,MYPINPAD LTD,93,6492630,0.279,0.279,,Medium,06/12/2012 00:00:00,Mypinpad’s world-leading technology enables a consistent ‘card present’ payment experience across in-store and digital channels.,mypinpad.com,CF10 4PL,"FinTech, Cyber","FinTech: Digital Payments, Cyber: Cryptographic Authentication, Cyber: Identity Management",,51,2023-06-01,0
09066452,BEHAVOX LTD.,532,32808009,0.5515,0.661,0.442,Large,06/02/2014 00:00:00,Behavioral enterprise risk & compliance management software solutions. data and communication analytics platform powered by ai. contact us!,behavox.com,SE1 9LQ,"FinTech, Photonics, Artificial Intelligence","FinTech: Tech for Enterprise, Photonics: Quantum Tech, Artificial Intelligence: Enabling Platforms",,138.56,2020-02-01,0
09543077,CIRCLE UK TRADING LIMITED,27,12529575,0.73,0.166,1.294,Medium,04/15/2015 00:00:00,We're on the lookout for more talented individuals to help us rewire the global economy. see what positions are open and join the circle team today!,circle.com,W6 7NL,"FinTech, Cryptocurrency Economy","FinTech: Digital Payments, FinTech: Tech for Enterprise, FinTech: Crypto Asset Exchange, FinTech: Digital Custody, Cryptocurrency Economy: Wallet",,0,,0
12204258,MIRABELLA GROUP HOLDINGS LIMITED,28,1518164,0.319,0.319,,Small,09/12/2019 00:00:00,Aca’s compliancealpha ecomms surveillance regtech solution helps investment advisers manage their firm's ecomms surveillance risk from one platform.,acaglobal.com,WC2N 5HR,FinTech,FinTech: Regtech,,0,,0
12912012,IDNOW UK LIMITED,45,5652364,0.493,0.555,0.431,Small,09/29/2020 00:00:00,"Idnow - the identity verification platform. built for security. loved by users. compliant with regulations (e.g. aml, kyc). available in 195 countries.",idnow.io,EC3V 3QQ,"FinTech, Cyber","FinTech: Digital Identity, FinTech: Regtech, Cyber: Cryptographic Authentication, Cyber: Identity Management",,0,,0
10109626,BEACON PLATFORM LIMITED,105,4945317,0.436,0.436,,Medium,04/07/2016 00:00:00,"Beacon is a financial technology company that delivers a cloud-based, end-to-end development and production platform.",beacon.io,NW1 3ER,FinTech,FinTech: Tech for Enterprise,,0,,0
09325294,BLOCKCHAIN (GB) LIMITED,209,69430200,0.372,0.253,0.491,Large,11/24/2014 00:00:00,"Buy bitcoin, ethereum, and other cryptocurrencies on a platform trusted by millions.",blockchain.com,SK4 2LP,"FinTech, Cryptocurrency Economy","FinTech: Crypto Asset Exchange, FinTech: Digital Custody, Cryptocurrency Economy: Blockchain, Cryptocurrency Economy: Mining, Cryptocurrency Economy: Wallet, Cryptocurrency Economy: Investment",,0,,0
11666126,LANDY TECH LIMITED,118,8435272,0.905,0.905,,Medium,11/07/2018 00:00:00,"Landytech helps asset managers, family offices and fiduciaries transform data and reporting processes with innovative software solutions.",landytech.com,SW7 5BE,FinTech,"FinTech: Regtech, FinTech: Tech for Enterprise",,14.12,2024-05-01,0
OC411984,TRIBE IMPACT CAPITAL LLP,37,6570362,0.771,0.526,1.016,Small,05/24/2016 00:00:00,Tribe is the uk’s first dedicated impact wealth manager and offers discretionary and advisory portfolio management.,tribeimpactcapital.com,SW1Y 6LX,Net Zero,Net Zero: Green Finance,,0,,1
09688671,SUM AND SUBSTANCE LTD,522,78729332,7.963,13.457,2.469,Large,07/16/2015 00:00:00,🔒 identity verification in 220+ countries ✓ an all-in-one kyc/aml service for preventing fraud and staying compliant ✓ 93% users verified on the first try ✓ 24/7 technical and customer support,sumsub.com,EC3A 8BF,FinTech,"FinTech: Digital Identity, FinTech: Regtech, FinTech: Alternative Credit Analysis",,29.05,2022-12-01,0
12055543,MOONPAY (UK) LIMITED,190,9019168,4.038,4.038,,Medium,06/17/2019 00:00:00,"Moonpay offers a fast and simple way to buy and sell cryptocurrencies. buy crypto with credit card, bank transfers or apple pay today.",moonpay.com,N1 7GU,"FinTech, Cryptocurrency Economy","FinTech: Crypto Asset Exchange, FinTech: Digital Custody, Cryptocurrency Economy: Wallet, Cryptocurrency Economy: Investment",,477.56,2023-09-01,0
08817319,KPMG ACCELERIS LIMITED,21,2866925,0.251,0.251,,Small,12/17/2013 00:00:00,Onboard gives you the tools you need to create a truly professional product showcase.,acceleris.com,E14 5GL,FinTech,FinTech: Digital Capital Raising,,0,,0
08628614,TANDEM MONEY LIMITED,825,174972741,0.3315,0.322,0.341,Large,07/29/2013 00:00:00,"The uk’s greener digital bank, providing customers with fairer and greener ways to manage their finances.",tandem.co.uk,FY4 2FB,FinTech,FinTech: Digital Banks,,0,,0
NI656243,SIGNIFYD UK LTD,442,13300455,0.74,0.74,,Large,10/09/2018 00:00:00,"Signifyd’s ecommerce fraud protection platform has 3 services for companies: revenue protection, abuse prevention & payment compliance.",signifyd.com,BT1 5GB,FinTech,"FinTech: Digital Identity, FinTech: Digital Payments, FinTech: Tech for Enterprise",,0,,0
04184442,FULCRUM DIGITAL (UK) LIMITED,128,20593472,0.3115,0.526,0.097,Medium,03/21/2001 00:00:00,"Fulcrum digital is a business platform and digital solution engineering company, providing true-end-to-end technology partnership services.",fulcrumdigital.com,EC2A 1NT,FinTech,FinTech: Tech for Enterprise,,0,,0
10061792,SHIELDPAY LTD,118,2352482,0.345,0.345,,Medium,03/14/2016 00:00:00,"Shieldpay provides simple and transparent payment solutions across the legal, financial and professional services industries.",shieldpay.com,WA14 2DT,FinTech,"FinTech: Digital Identity, FinTech: Digital Payments, FinTech: Tech for Enterprise",348275,9.05,2020-11-01,0
09901129,NAPIER TECHNOLOGIES LIMITED,488,35686562,1.1484999999999999,0.762,1.535,Large,12/03/2015 00:00:00,Advanced transaction monitoring and sanction screening platform to combat evolving threats.,napier.ai,EC1M 6DX,FinTech,"FinTech: Digital Identity, FinTech: Regtech, FinTech: Tech for Enterprise, FinTech: Wealthtech, FinTech: Alternative Credit Analysis",,45,2024-02-01,0
05686389,DUCO TECHNOLOGY LIMITED,342,42873863,0.316,0.268,0.364,Large,01/24/2006 00:00:00,"Duco provides intelligent, self-service data integrity and reconciliation services, powered by machine learning. the cloud-based duco platform empowers end-users to aggregate, normalise and reconcile data on demand - without infrastructure projects.",du.co,EC1R 0EB,"FinTech, Data Infrastructure, Data Intermediaries","FinTech: Regtech, FinTech: Tech for Enterprise, Data Infrastructure: Data Infrastructure Services, Data Intermediaries: Undefined Intermediaries",,0,,0
05640420,FEATURESPACE LIMITED,449,67738257,0.26549999999999996,0.187,0.344,Large,11/30/2005 00:00:00,"Featurespace's world-leading, real-time machine learning product prevents fraud and financial crime using the aric™ risk hub",featurespace.com,CB4 0GF,FinTech,"FinTech: Digital Identity, FinTech: Regtech, FinTech: Tech for Enterprise, FinTech: Alternative Credit Analysis",89200,81.01,2022-11-01,0
10842931,GRIFFIN BANK LTD,135,291456,1.148,1.148,,Medium,06/29/2017 00:00:00,Welcome to the platform for your next financial product or service. we're making a bank you can build on.,griffin.sh,EC2V 6DN,"Software Development, FinTech, Software as a Service (SaaS)","Software Development: API Development and Integration, FinTech: Digital Identity, FinTech: Digital Lending, FinTech: Digital Payments, FinTech: Regtech, FinTech: Tech for Enterprise, FinTech: Digital Banks, Software as a Service (SaaS): Finance and Accounting",,46.33,2024-03-01,0
09841252,TOTAL PROCESSING LTD,110,2513762,0.486,0.486,,Medium,10/26/2015 00:00:00,"Total processing merchant services can be fully customised to your needs, ensuring that all of your payments and transactions use the latest fraud prevention techniques. talk to one of the team today!",totalprocessing.com,M1 2HY,FinTech,"FinTech: Digital Payments, FinTech: Tech for Enterprise",,0,2023-11-01,0
07866563,IPROOV LIMITED,392,48058695,0.657,0.614,0.7,Large,11/30/2011 00:00:00,"Award-winning provider of secure online biometric authentication, identity verification, digital onboarding services, and genuine presence assurance technology.",iproov.com,SW1Y 6HR,"FinTech, Cyber","FinTech: Digital Identity, Cyber: Cryptographic Authentication, Cyber: Identity Management",2045431,52.49,2022-01-01,0
08923555,PYRAMID ANALYTICS UK LIMITED,82,5744585,0.603,0.603,,Medium,03/05/2014 00:00:00,The pyramid analytics decision intelligence platform is purpose-built to power faster and sharper decisions. learn how it can improve your business decisions here.,pyramidanalytics.com,W1W 7BR,"FinTech, Advanced Manufacturing, Data Infrastructure, Software as a Service (SaaS), MedTech, Artificial Intelligence","FinTech: Alternative Credit Analysis, Advanced Manufacturing: Data Services, Data Infrastructure: Data Infrastructure Services, Software as a Service (SaaS): Analytics, MedTech: Artificial Intelligence, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Data Analysis",,0,,0
11044276,HYPEREXPONENTIAL LTD,178,15089087,0.871,0.871,,Medium,11/02/2017 00:00:00,Welcome to renew from hyperexponential – a saas pricing platform for the insurers which allows actuaries & underwriters to develop complex pricing models,hyperexponential.com,EC1N 8LE,FinTech,FinTech: Tech for Enterprise,,70.35,2024-01-01,0
11048129,POLYAI LIMITED,236,16935645,1.6035,0.673,2.534,Medium,11/06/2017 00:00:00,"Enterprise-ready voice assistants for customer service. answer every call immediately, 24/7. no agents needed.",poly.ai,EC2R 6DA,Artificial Intelligence,"Artificial Intelligence: Natural Language Processing, Artificial Intelligence: Signal Processing",,95.54,2024-05-01,0
09879009,GLASSBOX DIGITAL UK LTD,26,8818410,0.26249999999999996,0.175,0.35,Small,11/19/2015 00:00:00,"Glassbox provides digital customer experience analytics for web and mobile apps. drive revenue, profitability & loyalty with optimized digital cx.",glassbox.com,NR1 1BT,"FinTech, Software as a Service (SaaS), Immersive Technologies, Agency Market","FinTech: Alternative Credit Analysis, Software as a Service (SaaS): Communications, Software as a Service (SaaS): Marketing, Immersive Technologies: Augmented Reality, Agency Market: Digital Transformation",,129.49,2024-05-01,0
09952253,PAXOS TECHNOLOGY LIMITED,61,8139513,0.339,0.339,,Medium,01/14/2016 00:00:00,"Our cutting-edge technology and bank-level oversight enables you to trade, settle and manage digital assets with confidence.",paxos.com,SL5 7HP,"FinTech, Cryptocurrency Economy","FinTech: Crypto Asset Exchange, FinTech: Digital Custody, Cryptocurrency Economy: Wallet, Cryptocurrency Economy: Investment",,0,,0
02585216,GRESHAM TECHNOLOGIES (SOLUTIONS) LIMITED,215,34870000,0.6735,0.275,1.072,Medium,02/25/1991 00:00:00,"Reconciliation software and tools, post trade automation and regulatory reporting solutions, data aggregation and connectivity for banks and buy-side.",greshamtech.com,EC4N 1TX,"FinTech, Data Infrastructure, Energy Management","FinTech: Insurtech, FinTech: Regtech, FinTech: Tech for Enterprise, Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Infrastructure Software, Data Infrastructure: Data Storage, Energy Management: Energy Management Systems",,0,,0
07216039,EQUITI CAPITAL UK LIMITED,61,27398232,0.124,,0.124,Medium,04/07/2010 00:00:00,Online trading news,leaprate.com,EC2Y 5AU,,,,0,2017-01-01,0
08232223,ADJUST SOFTWARE LIMITED,49,2317964,0.526,0.526,,Small,09/27/2012 00:00:00,"Mobile measurement made easy: adjust unifies all your marketing activities into one powerful platform, giving you the insights you need to scale your business.",adjust.com,WD17 1DL,"FinTech, Data Infrastructure, Software as a Service (SaaS), Electronics Manufacturing","FinTech: Alternative Credit Analysis, Data Infrastructure: Data Infrastructure Services, Software as a Service (SaaS): Marketing, Electronics Manufacturing: Measuring and metrology devices",,0,,0
10546847,SGX FX SYSTEMS UK LIMITED,173,58345432,0.4165,0.426,0.407,Large,01/04/2017 00:00:00,"Powerful technology solutions for the global fx marketplace in a single sign-on, cloud-based environment",bidfx.com,WC1H 9LT,FinTech,FinTech: Tech for Enterprise,,18.88,2020-07-01,0
08860899,SEVEN BRIDGES GENOMICS UK LTD,22,1574713,0.297,0.297,,Small,01/24/2014 00:00:00,"Seven bridges is the biomedical data analysis company accelerating breakthroughs in genomics research for cancer, drug development and precision medicine.",sevenbridges.com,WC1N 2EB,"Engineering Biology Supply Chain, Data Intermediaries, Omics","Engineering Biology Supply Chain: Computational - AI / Bioinformatics / Omics / Software, Data Intermediaries: Undefined Intermediaries, Omics: Genomics",,83.44,2023-01-01,0
