Title,ID,Website URL,Sectors,Simplified Sector Mapping,Endorsed,Provider type 1,Provider type 2,Lead provider,Growth hub / Catapult,DEAD,Regions,Type of programme,One to watch,Support available,Programme costs,Offerings,Other delivery partners,Public funded,Year programme started,Lead contact name,Lead contact email,Thumbnail image,Filter,Categories,Themes,Copy,Locations_map_point_address,Locations_map_point_street_name,Locations_map_point_street_short_name,Locations_map_point_city,Locations_map_point_state,Locations_map_point_state_short,Locations_map_point_post_code,Locations_map_point_country,Co-ordinates
STEP INto Healthcare,2601,https://www.businessgrowthhub.com/step-into-healthcare,Healthcare|Life Sciences & Biotech,Life Sciences,,Provider type>Public/hybrid mix,,Health Innovation Manchester,,,North West,Scaling firm focus,,Access to corporate collaboration|Access to peer networks|Support for R&D and/or innovation|Support to access public/private sector procurement,Free,Programme,,,,,IN@healthinnovationmanchester.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/businessgrowthhub.png,Ecosystem,,Access to markets,"The STEP INto Healthcare programme, in partnership with TRUSTECH and Health Innovation Manchester, will help you improve your pitch to potential investors and customers, and increase your chances of success in the life sciences market.

Designed for businesses in the life sciences sector with aspirations to scale-up, the programme provides access to networks, strategic knowledge and market opportunities, through one-to-one support and a number of workshops with leading industry experts.",,,,,England,England,M13 9NQ,United Kingdom,"53.46223,-2.22848"
Invest to Grow,2603,https://www.derby.ac.uk/business-services/funding-services-and-support/access-to-funding/,Building & Construction|Engineering / Advanced Engineering|Environmental Science & Technology|Life Sciences & Biotech|Manufacturing / Advanced Manufacturing|Technology & Communications,Advanced Manufacturing,,Provider type>University/Business School,,University of Derby,,,East Midlands,Scaling firm focus,,Financial support/access,Delivered for a fee,Product,,,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/derbyuni.png,Support Offer,,Finance,"The University of Derby's Invest to Grow programme provides grants and loans of between £15,000 and £250,000 to support private-sector businesses across the East Midlands to innovate, grow and create jobs.",,,,,England,England,DE22 1GB,United Kingdom,"52.93847,-1.49668"
Alliance Manchester Business School: Scale-up Forum,2614,Scale-Up Forum: Applications of AI | Alliance MBS (manchester.ac.uk),AI,Technology,,Provider type>University/Business School,,Alliance Manchester Business School,,,North West,Scaling firm focus,,Access to talent and skills|Leadership development/capacity building|Skills training|Support for R&D and/or innovation|Support to enter international markets,Free,Service,,,2018,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/alliance-manchester-business-school-1.png,Support Offer,,Leadership,"Alliance Manchester Business School – based at Manchester University - supports the business ecosystem across the North West. In 2018 it launched its Scale-Up Forum to boost scaleup growth through a peer-to-peer initiative supported by the university’s recognised talent, skills and knowledge.

Growing businesses on all stages of their scaleup journey are encouraged to share their experiences as they explore common challenges and gain valuable insights into how different business leaders overcome them.",,,,,England,England,M15 6PB,United Kingdom,"53.46736,-2.23699"
The ScaleUp Accelerator,10661,The ScaleUp Accelerator – Prepare for Growth and Series A Funding | The ScaleUp Accelerator helps scaling tech UK companies prepare for strong growth and Series A funding.,Technology & Communications,Technology,,Provider type>Private sector,,The ScaleUp Accelerator,,,UK,Scaling firm focus,,Access to peer networks|Leadership development/capacity building,Delivered for a fee,Programme,,,,Clarelisa Camilleri,clarelisa@theacceleratornetwork.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2020/05/scaleupaccelerator.png,Support Offer,,Leadership,"The ScaleUp Accelerator is a 6-month programme for founders to develop a credible plan and investor proposition to raise Series A through training and mentoring, starting with 6 weekly day-long sprints followed by 1:1 support. The programme dives into key business areas with London’s scaleup experts and investors, plus 1:1 feedback on growth strategy, sales plans, marketing, legals and finance to scale and attract the necessary growth funding. Thereafter, guidance on business plans and financial models is provided, concluding with highly-curated investor presentations. Post-pitching is followed by comprehensive 1:1 support to help you structure and close your VC round.",,Borough High Street,,,England,England,SE1 1NP,United Kingdom,"51.50361,-0.09112"
Growing Global Champions,11335,http://www.scaleupgroup.co,Technology & Communications,Technology,,Provider type>Private sector,,Scale Up Group,,,International|UK,Scaling firm focus,,Access to peer networks|Access to talent and skills|Financial support/access|Leadership development/capacity building,Delivered for a fee,Service,,,,Barbara Ravens,barbara@scaleupgroup.co,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2020/09/scaleupgroup-2.png,Support Offer,,Finance,"ScaleUp Group’s “Growing Global Champions” programme provides ScaleUp CEOs with access to this “money couldn’t buy” ScaleUp experience to develop sustainable UK/Global growth plans (Go-to-market, financial, technology, people), get fully investor ready and raise growth (Series A) funding. To date, ScaleUp Group’s Global Champions have successfully raised over £30m in growth funding.",,,,,England,England,EC2V 7AF,United Kingdom,"51.51661,-0.09408"
Pioneer Group,,https://thepioneergroup.com/,Environmental Science & Technology|Healthcare|Life Sciences & Biotech,Life Sciences,,Provider type>Private sector,,BioCity Group,,,UK,Scaling firm focus,,Access to peer networks|Financial support/access|Leadership development/capacity building|Office space/hubs that focus on scaleups,Delivered for a fee,Product,,,2002,Lizzie,e.hasling@biocity.co.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2024/03/Pioneer-Group-logo.png,Financier,,Infrastructure|Finance,"The Pioneer Group provide holistic business support to life science entrepreneurs at scaleup, growth and startup stages. The Group provide Accelerators, mentor network of 200+ industry experts, networking, seed and pre-seed investment and easy-in easy in flexible lab & office space specifically designed to support scaleups; located within enterprise zones.

They offer hubs in different locations across the UK including the BioCity Nottingham, Cherrywood Campus, Edinburgh Technopole, Kent Science Park, Victoria House, BioCity Glasgow, Cardiff Edge, Colworth Science Park, Hexagon Tower, MediCity Nottingham and Wilton Centre.",,,,,England,England,NG1 1GF,United Kingdom,"52.95105,-1.13730"
Boost Business Lancashire,12418,https://www.boostbusinesslancashire.co.uk/business-support/,,Professional Services,,Provider type>Public/hybrid mix,,Lancashire Growth Hub,1,,North West,Scaling firm focus,,Access to peer networks|Leadership development/capacity building|Skills training,Free,Service,,,,Amin Vepari,amin.vepari@lancashire.gov.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/10/boost-logo.png,Ecosystem,,Leadership,"Boost Business Lancashire supports the local pipeline of growing and scaling businesses with the drive to achieve growth over 20% per annum. ‘Boost’ helps break down key barriers to scaling by supporting businesses to develop and build an effective senior management team, attract talent, and access new markets. Support is delivered through a blend of one-to-one coaching, peer learning, insights sharing and dedicated growth workshops.",,,,,England,England,PR1 8XJ,United Kingdom,"53.75427,-2.70837"
Gather,12428,https://gatherlcr.com/programmes,Technology & Communications,Technology,,Provider type>Public/hybrid mix,,Form,,,North West,Scaling firm focus,,Leadership development/capacity building,Delivered for a fee,,,,2020,,hello@gatherlcr.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/10/gather-logo.png,Ecosystem,,Leadership,"Gather is part of the Liverpool City Region Metro Mayor’s Business Growth Package. Launched in 2020, it delivers 1-2-1 support with dedicated growth consultants, a suite of events, activities and support programmes to digital, creative and tech-enabled businesses along with dedicated programmes for scaling businesses. It includres 3 programmes; Junction, Consult, Emerging Leaders.",,,,,England,England,L1 0AX,United Kingdom,"53.39599,-2.98213"
ScaleUp Berkshire,12444,https://scaleupberkshire.co.uk/,,Professional Services,,Provider type>Public/hybrid mix,,,,1,South East,Scaling firm focus,,Leadership development/capacity building,Free,,,,2018,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/10/GH-TVB-logo.jpg,,,Leadership,"ScaleUp Berkshire, launched in 2018, is helping scaleup business leaders understand what is available and working to connect them with the right programme of support, drawing on the wide range of scaleup services on offer. It is based on an account management model and targets high-growth businesses that have achieved turnover in excess of £1m, linking them with specialist support delivered through a range of private and public sector experts. ",,,,,,,nan,,
Harwell Science and Innovation Campus,12511,https://www.harwellcampus.com/,Engineering / Advanced Engineering|Healthcare|Life Sciences & Biotech|Manufacturing / Advanced Manufacturing|Technology & Communications,Life Sciences,,Provider type>Public/hybrid mix,,Harwell Campus,,,South East,Scaling firm focus,,Office space/hubs that focus on scaleups|Support for R&D and/or innovation,Delivered for a fee,Service,,,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/11/harwell.png,Support Offer,,Infrastructure,"The Harwell Science and Innovation Campus offers facilities, support and infrastructure to scale and promote science, innovation and collaboration. It is a unique collaboration between government, academia and industry including publicly funded scientific infrastructure, innovative private sector organisations and teams from 30 UK universities. Harwell clusters in the Space, Energy, Health and from 2022 Quantum sectors offer scaling businesses access to a diverse network of 200+ organisations, where research, innovation and commercial know-how are fuelled by around £3 billion of public investment. Each cluster offers networking events and activities, as well as informal sharing of ideas and opportunities across organisations. Additional business support includes funding, technical partnerships, sector expertise and access to laboratories and accommodation. Additional guidance and support is available through the Harwell’s start-up incubator programme, an accelerator initiative and the Proof of Concept grant programme funded by the UK’s Science and Technology Facilities Council (STFC).

The Proof of Concept grant programme is providing grant funding at a total of £250k with up to £30k per project being awarded to support and accelerate innovative multidisciplinary collaborations across the three clusters at Harwell: HealthTec, Space and EnergyTec. Funding is targeted at collaborative research and development, with a multidisciplinary remit that encourages industry to engage with other organisations in short term innovative projects.",,,,,England,England,OX11 0DF,United Kingdom,"51.57993,-1.31649"
Sustainable Scale Up Cluster,12990,https://www.sustainablescaleupcluster.wales/,Food & Drink,Net Zero,,Provider type>Public/hybrid mix,,BIC Innovation,,,Wales,Scaling firm focus,,Leadership development/capacity building|Skills training,Free,Service,,,,,bwyd-food@bic-innovation.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/12/foodand-drink-scale-up-cluster.png,Support Offer,,Leadership,"Helping ambitious Welsh food and drink businesses scale up sustainably, the Sustainable Scale Up Cluster is supporting businesses to tackle the 4 key challenges to successful scale up:</p>
• CAPACITY to scale up
• Access to CAPITAL to scale up
• Access to the right COMPETENCIES and talent to scale up
• Having the CONFIDENCE to scale up and avoiding the overtrading trap",,Court Road,,,Wales,Wales,CF31 1BE,United Kingdom,"51.50654,-3.57631"
BetaDen,12992,https://www.beta-den.com/,Technology & Communications,Technology,,Provider type>Private sector,,BetaDen,,,West Midlands,Scaling firm focus,,Financial support/access|Leadership development/capacity building|Office space/hubs that focus on scaleups,Free,Service,,,,,info@beta-den.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/12/betaden.png,Ecosystem,,Infrastructure,"BetaDen offers entrepreneurs, start-ups and scaleups a package a package worth over £50,000 consisting of: free office space, expert mentorship and support, access to Worcestershire’s 5G testbed and a proof of concept grant worth £7,500.",,,,,England,England,WR14 3SZ,United Kingdom,"52.10482,-2.31190"
Business Cyber Centre,13139,https://www.bcc.co.uk/,Defence & Security,Technology,,Provider type>Public/hybrid mix,Provider type>University/Business School,Business Cyber Centre,,,South West,Scaling firm focus,,Access to corporate collaboration|Office space/hubs that focus on scaleups|Skills training|Support for R&D and/or innovation,Delivered for a fee,Service,,,,,hello@bcc.co.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2024/03/bcc-Logo.png,Support Offer,SECTORAL DEVELOPMENT,Infrastructure,"The Business Cyber Centre - the first in the UK - aims to make all UK businesses more cyber secure and turn cyber complexity into cyber confidence. It is unique in its offering within the local and regional area, and seeks to be recognised as a national asset and leading SME partner, enabling a greater level of resilience to businesses and UK Plc.",Unit 7 Greenways Business Park,Chippenham,,,England,England,SN15 1BN,United Kingdom,"51.47335,-2.12295"
Accenture Fintech Lab,13141,https://www.fintechinnovationlab.com/regions/london/,Technology & Communications,Fintech,,Provider type>Private sector,,Accenture,,,International,Scaling firm focus,,Support for R&D and/or innovation,Free,Programme,,,2011,,fintechlondon@accenture.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/07/fintechinnovationlab-Logo-1.png,Support Offer,CONNECTING BUSINESSES WITH BUYERS OR CORPORATE/GOVERNMENT COLLABORATION,Access to Markets,"The FinTech Innovation Lab is a highly competitive, 12-week program that helps early to growth-stage enterprise technology companies refine and test their value proposition with the support of the world's leading financial service firms.",30 Fenchurch St,London,,,England,England,EC3M 3BD,United Kingdom,"51.51136,-0.08226"
British Library: Get Ready for Business Growth,13199,https://www.bl.uk/bipc/,"CREATIVE, DIGITAL, FILM, GAMES & MEDIA",Creative Industries,1,Provider type>Public/hybrid mix,,British Library,,,East Midlands|East of England|North East|North West|Scotland|South East|South West|West Midlands|Yorkshire & the Humber,ScaleUp Institute Endorsed/One to Watch,,Leadership development/capacity building,Free,Programme,,,,"Savory, Anna",Anna.Savory@bl.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/british-library-300x213-2.jpg,Support Offer,,Leadership,"Launched in 2022, the British Library’s Get Ready for Business Growth builds on the success and legacy of the SUI endorsed Innovating for Growth (I4G) programme – the British Library’s flagship scale-up offering.

As a direct continuation of the I4G programme with a much larger national reach, the three-month programme offers tailored scaleup support for businesses in the arts and culture sector across England and Scotland. It is funded by Arts Council England and has been designed and delivered by the British Library Business & Intellectual Property Centre (BIPC) and a number of private sector partners. The programme has tapped into the British Library’s BIPC National Network, consisting of 22 Business & IP Centres across the UK and a further 86 satellite services delivered through town libraries.

Get Ready for Business Growth has adopted I4G’s course structure and leverages its existing network of delivery partners along with two key learnings: the importance of assigned Relationship Managers and an emphasis on the British Library’s collections and customised business research. The overall programme consists of three streams; Get Ready for Business Growth: Scale-ups, Get Ready for Business Growth: Mentoring and Get Ready for Business Growth: Start-ups and is delivered completely virtually.

The programme, which is delivered to cohorts of c. 25 creative business leaders, consists of 8 workshops and 8 one to one bespoke sessions totalling 32 hours of support. The one to one sessions cover support in strategy development, fundraisings, testing and launching new products, protecting their IP, research competitors and many more. Each participant is paired with a Relationship Manager who oversees their engagement, acts as a counsellor and refers them to relevant services support. Additionally, they receive a personalised research report drawing on the Library’s world-leading collections and are trained in the use of the BIPC’s extensive market research resources.

Get Ready for Business Growth graduates benefit from access to the ‘Growth Club’, an existing community of over 700 leaders, first established as part of I4G; and ongoing engagement with their relationship manager enables their progress to be tracked and the measurement of business outcomes, while also providing ongoing support.

In its first year, the programme reported positive impact outperforming I4G’s first year in terms of number of scaleup businesses supported, jobs created and new products, processes and services generated, as well as the number of mentors trained. So far, the ‘Get Ready for Business Growth: Scale-ups’ stream has helped 98 creative scaling businesses, with so far 23% of them creating 56 new jobs. As a result of the programme’s learnings, participants have created and implemented 68 new products, processes and services in the first three quarters. 40 graduate mentors were trained with accreditation from the Institute of Leadership & Management (ILM) and all participants have been signposted to continuing accelerators and business hubs as part of offboarding from the programme.
<blockquote><span style=""font-family: inherit;"">""I feel very bittersweet about graduating because it's been such a transformative experience for our business. Running your own business can be a lonely place, but this programme provided us with the opportunity to meet like-minded people and receive invaluable feedback from experts in their respective fields. We feel more determined than ever to grow and reach new heights thanks to Get Ready for Business Growth.”</span></blockquote>
Dana - Codex Anatomy
<blockquote>""We LOVED being a part of this course. It has been intense at times but we realised how much our mindset has changed in the past three months. I feel like our purpose and drive has come back. Things that felt overwhelming and complicated at the start of the programme like auditing our suppliers and measuring our marketing activities now feel achievable and we are really excited to input more that we have learnt into our strategy for 2023.”</blockquote>
Bee and Amy - Aarven",96 Euston Road,London,,,England,England,NW1 2DB,United Kingdom,"51.52999,-0.12701"
The Bradfield Centre,13231,https://www.bradfieldcentre.com/,Technology & Communications,Technology,,Provider type>University/Business School,Provider type>Private sector,Mantle,,,East of England,Scaling firm focus,,Office space/hubs that focus on scaleups,Delivered for a fee,Service,,,,,hello@mantlespace.co.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/11/Bradfield-Centre.png,Support Offer,"SECTORAL DEVELOPMENT, INCREASING PRODUCTIVITY, REGIONAL GROWTH",Infrastructure,"The Bradfield Centre, in partnership with Cambridge University, is providing space for early-stage and scaleup businesses in the technology sectors and is developing a scaleup offering. Along with the flexible co-working spaces further support includes access to AWS, Google and Microsoft programmes; access to tech & entrepreneurship related events; connections to Angel and VC investors; connections with the University’s talent through the Trinity Bradfield Prize; an internship program running with Trinity College; and access to events with student organisations and the Judge Business School.",184 Cambridge Science Park,Milton Road,Cambridge,,England,England,CB4 0GA,United Kingdom,"52.23377,0.14611"
Clean Growth UK,13239,https://www.clean-growth.uk/,Environmental Science & Technology,Net Zero,,Provider type>Public/hybrid mix,Provider type>University/Business School,Clean Growth UK,,,North West|South East|South West,Scaling firm focus,,Financial support/access|Skills training|Support for R&D and/or innovation,Free,Service,,1,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/11/CleanGrowth.png,Ecosystem,"SECTORAL DEVELOPMENT, INCREASING PRODUCTIVITY, REGIONAL GROWTH",Infrastructure,"The Clean Growth programme helps early-stage and scaling businesses develop clean and green products, services and processes through access to research expertise and facilities, free expert workshops and business resources and funding opportunities. The programme operates across the North West, South West and South East through regional university hubs.","University of Brighton, Watts Building|University of Portsmouth, 0.08a Lion Gate Building, Lion Terrace",||,||,|Brighton and Hove|,England|England|England,England|England|England,PO1 3HF,United Kingdom|United Kingdom|United Kingdom,"50.79893,-1.09834"
Silverstone Technology cluster,13256,https://www.silverstonetechnologycluster.com/,Engineering / Advanced Engineering|Technology & Communications,Advanced Manufacturing,,Provider type>Public/hybrid mix,,Silverstone Technology Cluster,,,East Midlands|South East,Scaling firm focus,,Leadership development/capacity building,Delivered for a fee,Programme,,,2017,,admin@silverstonetechnologycluster.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/11/silverstonetechnologycluster.png,Ecosystem,SECTORAL DEVELOPMENT,Leadership|Infrastructure,"The Silverstone Technology Cluster (STC) helps Advanced Engineering, Electronics and Software businesses in the wider geographical area surrounding Silverstone. The STC is specifically focused on the areas of Promotion, Support and Thought Leadership. It offers expert support, mentoring, peer learning, events and networking opportunities.",Silverstone Park,,,Silverstone,England,England,NN12 8GX,United Kingdom,"52.07784,-1.02417"
Create Growth Programme,13276,https://iuk.ktn-uk.org/programme/create-growth/#page_top,"CREATIVE, DIGITAL, FILM, GAMES & MEDIA
",Creative Industries,,Provider type>Innovate UK,Provider type>Public/hybrid mix,Various (depending on region),,,North West|East of England|North East|South West|East Midlands|Yorkshire and The Humber|West Midlands,Scaling firm focus,,Access to peer networks|Leadership development/capacity building|Skills training,Free,Programme,,1,2022,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2024/03/Create-growth-programme.png,Ecosystem,REVENUE GROWTH FOR BUSINESSES,Leadership,"The Create Growth Programme was launched in 2022 by the Department for Culture, Media & Sport (DCMS) in partnership with Innovate UK. It is designed to support the development of creative industries with high-growth potential and is delivered across different regions in England, outside of London. It aims to drive innovation and investment in the sector and supports early-stage and scaling businesses stimulate growth and attract private investment.

The programme was initially a £17.5 million investment in the sector, with up to £7 million provided by Innovate UK, and in July 2023, the previous government published its Sector vision in which it announced an additional £10.9 million to support a further six regions. Innovate UK provided another £6.92 million for the grant funding competition. Eligible businesses in Create Growth regions can apply to Innovate UK for grants and investor partnerships.",,Great Bridgewater Street,,,England,England,SN2 1FL,United Kingdom,"51.56673,-1.78476"
